#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!
#!
#! Descriptions of config data items, for use when debugging etc.
#!
#! Entries are tab-separated, with fields as follows (some of which may be
#! empty):
#!
#!   Name
#!   Description
#!   HowSet: By user, calculated, etc.
#!   Optional/Mandatory
#!   Default
#!   Options
#!   SetWhere: File / CommandLine / EnvironmentVariable
#!   Notes
#!
#!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!

step_TMP_garbage	Used internally only.	Calculated	Calculated			Calculated	Calculated
stepAbout	Used as part of the information on the copyright page, via the About parameter in the Sword config file.  Calculated from various other elements.	Calculated	Calculated			Calculated	Calculated
stepAcknowledgmentOfDerivedWork	??? An intermediate calculated value, which returns a formatted version stepChangesMadeByUsInDerivedWork if the latter is defined, and otherwise an empty string.	Calculated	Calculated			Calculated	Calculated
stepAddedValueLinesForSwordConfigComments	???	Calculated	Calculated			Calculated	Calculated
stepAdminLine	Used to hold the line of admin data which is stored as a comment near the top of Sword config files.	Calculated	Calculated			Calculated	Calculated
stepBookList	Used to obtain a list of book names and abbreviations from an external metadata source where available.	Calculated	Calculated			Calculated	Calculated
stepBuildTimestamp	Present date / time in specific format.	Calculated	Calculated			Calculated	Calculated
stepChangesMadeByUsInDerivedWork	???	Calculated	Calculated			Calculated	Calculated
stepConversionInfo	Used to hold complex information about the conversion processing	Calculated	Calculated			Calculated	Calculated
stepDataPath	Holds a relative data path pointing to data within the module zip file.	Calculated	Calculated			Calculated	Calculated
stepEncrypted	Set to Yes on copyright texts.	Calculated	Calculated			Calculated	Calculated
stepExtendedLanguageCode	Language code plus script code and / or country code where appropriate.  (To date, this has never done anything with script- or country- codes.)	Calculated	Calculated			Calculated	Calculated
stepInputFileDigests	Used internally to hold digests of the input files.	Calculated	Calculated			Calculated	Calculated
stepLanguageCode2Char	2-character language code.	Calculated	Calculated			Calculated	Calculated	Determined from name of root folder.
stepLanguageCode3Char	3-character language code.	Calculated	Calculated			Calculated	Calculated	Determined from name of root folder.
stepLanguageNameInEnglish	Language name in English.	Calculated	Calculated			Calculated	Calculated	Determined from language code in name of root folder.
stepModuleCreationDate	Today's date.	Calculated	Calculated			Calculated	Calculated
stepModuleSize	Used internally when creating the Sword config file.	Calculated	Calculated			Calculated	Calculated
stepModuleName	The basic module name plus various flags to distinguish release modules from evaluation ones etc.	Calculated	Calculated			Calculated	Calculated
stepOnlineUsageOnly	This module cannot be used in offline STEP.	Calculated	Calculated			Calculated	Calculated
stepOptions	Set to hold details of those features in the text which osis2mod needs to be aware of.	Calculated	Calculated			Calculated	Calculated
stepOriginData	Set to USX, VL, OSIS, etc, reflecting the input data used on this run.	Calculated	Calculated			Calculated	Calculated
stepOsis2ModEncryptionKey	Used to hold the encryption key to be used when generating the module.	Calculated	Calculated			Calculated	Calculated
stepOsis2modType	Determines whether we use the STEP version of osis2mod or the Crosswire version.	Calculated	Calculated			Calculated	Calculated	Deduced from the type of module being generated.
stepOsis2ModVersion	Gives the software version number reported by osis2mod.  Used for admin purposes, so we know which osis2mod was used.	Calculated	Calculated			Calculated	Calculated
stepReleaseType	Distinguishes major and minor releases.	Calculated	Calculated			Calculated	Calculated
stepReversificationMap	Used internally to hold mapping details for run-time reversification.	Calculated	Calculated			Calculated	Calculated
stepReversificationType	Indicates whether to apply runtime, conversion-time or no reversification.	Calculated	Calculated	Depends on various parameters.		Calculated	Calculated	if conversionTimeReversification is set to yes on the command line, then conversion-time is used.  Otherwise all STEP modules use runtime reversification, and all public modules use none.  Conversion-time has not been exercised currently.
stepSoftwareVersionRequired	Indicates which version of the STEP software is required to display the module.	Calculated	Calculated			Calculated	Calculated
stepSpecialFeatures	Used to hold details of any special features which need to appear in the Sword config file.  (At the time of writing, does not appear to be used).	Calculated	Calculated			Calculated	Calculated
stepTextDirectionForSword	LToR, RToL or BiDi.  Aggravating that we need this alternative form, but there we are.	Calculated	Calculated			Calculated	Calculated	Deduced from stepTextDirection.
stepTextRevision	The new revision number for the module.	Calculated	Calculated			Calculated	Calculated
stepTextSource	Holds details of where the source came from.  Involves some fairly fiddly processing to allow for the fact that different modules may have different information available.	Calculated	Calculated			Calculated	Calculated
stepUpIssued	Set to 'y' if the text is being up-issued.  The processing will normally work this out for itself, but you can force the issue using stepForceUpIssue.	Calculated	Calculated			Calculated	Calculated
stepVersified	If yes, indicates that the text has used runtime reversification.	Calculated	Calculated			Calculated	Calculated
xweird	Used internally to hold some markup information which I think may be needed only until STEPBible can be fixed.	Calculated	Calculated			Calculated	Calculated
stepExternalDataPath_TaggingAll	Path from which to obtain reversification data.  May be a URL or a local file; I recommend the former so you are always using the most recent data.	Calculated	Calculated			Calculated	Calculated
stepTextModifiedDate	Used only in the OSIS header (and I'm not sure it’s useful there).  You can specify it, but the default (of today's date) is probably good enough.	Calculated	Calculated			Calculated	Calculated




# Controlling organisations.
stepTextOwnerOrganisationAbbreviatedName	Abbreviated name of the owning organisation.  (We use the full name if the abbreviated name is not available.)	UserSpecified	Optional	stepTextOwnerOrganisationFullName	Arbitrary string.	File	PerTextIfAvailable
stepTextOwnerOrganisationFullName	Full name of the owning organisation.	UserSpecified	MandatoryAlwaysMayBeEmpty		Arbitrary string or empty.	File	PerTextAlways
stepTextOwnerOrganisationWebsiteLinkOrDescription	Details of text owner and / or link to their website as HTML.	UserSpecified	MandatoryAlwaysMayBeEmpty		Arbitrary string or empty.	File	PerTextAlways
stepTextRepositoryOrganisationAbbreviatedName	Where the text comes from a repository, the abbreviated name of the repository organisation.  (We use the full name if the abbreviated name is not available.)	UserSpecified	Optional	stepTextRepositoryOrganisationFullName	Arbitrary string.	File	PerTextIfAvailable
stepTextRepositoryOrganisationFullName	Full name of the repository organisation, if there is one.	UserSpecified	MandatoryAlwaysMayBeEmpty		Arbitrary string or empty.	File	PerTextAlways
stepTextRepositoryOrganisationWebsiteLinkOrDescription	Details of repository organisation and / or link to their website as HTML.	UserSpecified	MandatoryAlwaysMayBeEmpty		Arbitrary string or empty.	File	PerTextAlways


# Copyright and licensing.
stepAboutAsSupplied	Basic information which feeds into the Sword About parameter and thence into our copyright page (ie information typically provided by the text supplier to describe the text).	UserSpecified	MandatoryAlways		Arbitrary string.	File	PerTextAlways	With DBL texts, may be derived from metadata.xml.
stepDistributionLicence	Says, for instance, that the text is covered by a CC licence.	UserSpecified	MandatoryAlways		Not policed, but should be drawn from a list which appears in the Crosswire documentation.	File	PerTextAlways
stepDistributionNotes	Optional notes giving more details about the distribution licence etc.	UserSpecified	Optional		Arbitrary string.	File	PerTextAlways
stepIsCopyrightText	Indicates that this is (or is to be treated as) a copyright text.	UserSpecified	MandatoryAlways		Yes / No.	File	PerTextAlways
stepLicenceExpiryDate	Date on which licence expires.	UserSpecified	Optional		Date.	File	PerTextIfAvailable	Used for admin purposes only.  With DBL data, this can be deduced automatically from license.xml.
stepLicenceId	Licence id.	UserSpecified	Optional		Arbitrary string.	File	PerTextIfAvailable	Used for admin purposes only.  With DBL data, this can be deduced automatically from license.xml.
stepShortCopyright	A brief description of the copyright status.	UserSpecified	MandatoryAlways		Arbitrary string.	File	PerTextAlways
stepShortPromo	A short promotion for the text supplier -- perhaps naming them and linking to their website.	UserSpecified	Optional		Arbitrary string.	File	PerTextIfAvailable
stepWordingForDerivedWorkStipulatedByTextSupplier	Some suppliers require us to use particular words to acknowledge the fact that we have made changes in our version.	UserSpecified	Optional		Arbitrary string.	File	PerTextIfAvailable


# Description of text.
stepAbbreviationEnglish	English form of abbreviated Bible name.	UserSpecified	MandatoryAlways		Arbitrary string.	File	PerTextAlways
